person_id,name,entity_type,related_film_count,has_wikipedia_text,intro_chars,wikitext_chars,source_url
Q27042042,杨修华,导演,1,True,51,2165,https://zh.wikipedia.org/wiki/%E6%A5%8A%E4%BF%AE%E8%8F%AF
Q57941396,杨曜恺,导演,1,True,30,3580,https://zh.wikipedia.org/wiki/%E6%A5%8A%E6%9B%9C%E6%84%B7
Q15930841,杨荔钠,导演,1,True,53,2077,https://zh.wikipedia.org/wiki/%E6%9D%A8%E8%8D%94%E9%92%A0
Q1678831,杰克·卡斯丹,导演,1,True,135,6680,https://zh.wikipedia.org/wiki/%E5%82%91%E5%85%8B%C2%B7%E5%8D%A1%E6%96%AF%E4%B8%B9
Q3176610,杰夫·瓦德洛,导演,1,True,117,4701,https://zh.wikipedia.org/wiki/%E5%82%91%E5%A4%AB%C2%B7%E7%93%A6%E5%BE%B7%E6%B4%9B
Q15453979,杰夫·福勒,导演,1,True,202,3628,https://zh.wikipedia.org/wiki/%E5%82%91%E5%A4%AB%C2%B7%E7%A6%8F%E5%8B%92
NAME:杰德·哈雷·巴特利特,杰德·哈雷·巴特利特,导演,1,False,0,0,
Q17521770,杰瑞米·索尼耶,导演,1,True,119,4154,https://zh.wikipedia.org/wiki/%E5%82%91%E7%91%9E%E7%B1%B3%C2%B7%E7%B4%A2%E5%B0%BC%E8%80%B6
NAME:杰米·贝利（）,杰米·贝利（）,导演,1,False,0,0,
Q219512,杰西·艾森柏格,导演,1,True,276,20676,https://zh.wikipedia.org/wiki/%E5%82%91%E8%A5%BF%C2%B7%E8%89%BE%E6%A3%AE%E6%9F%8F%E6%A0%BC
NAME:林汇达,林汇达,导演,1,False,0,0,
Q139890,查克·史奈德,导演,5,True,268,27467,https://zh.wikipedia.org/wiki/%E6%9F%A5%E5%85%8B%C2%B7%E5%8F%B2%E5%A5%88%E5%BE%B7
Q85881417,柯汶利,导演,1,True,45,4073,https://zh.wikipedia.org/wiki/%E6%9F%AF%E6%B1%B6%E5%88%A9
Q332998,柳承完,导演,1,True,178,12419,https://zh.wikipedia.org/wiki/%E6%9F%B3%E6%89%BF%E5%AE%8C
Q133281884,梁冠尧,导演,1,True,89,7417,https://zh.wikipedia.org/wiki/%E6%A2%81%E5%86%A0%E5%A0%AF
WP:梁冠舜,梁冠舜,导演,1,False,0,0,
WP:梁奕豪,梁奕豪,导演,1,False,0,0,
Q1066412,梁智强,导演,2,True,94,10058,https://zh.wikipedia.org/wiki/%E6%A2%81%E6%99%BA%E5%BC%B7
NAME:梁礼彦,梁礼彦,导演,1,False,0,0,
NAME:椛岛洋介,椛岛洋介,导演,1,False,0,0,
Q60837652,歌拉莉·花洁,导演,1,True,211,2796,https://zh.wikipedia.org/wiki/%E6%AD%8C%E6%8B%89%E8%8E%89%C2%B7%E8%8A%B1%E6%BD%94
Q114913773,殷若昕,导演,1,True,118,3584,https://zh.wikipedia.org/wiki/%E6%AE%B7%E8%8B%A5%E6%98%95
WP:毛启超,毛启超,导演,1,False,0,0,
Q2669356,汤米·维尔柯拉,导演,1,True,370,5905,https://zh.wikipedia.org/wiki/%E6%B9%AF%E7%B1%B3%C2%B7%E7%B6%AD%E7%88%BE%E6%9F%AF%E6%8B%89
WP:沈晓阳,沈晓阳,导演,1,False,0,0,
NAME:沈炯俊,沈炯俊,导演,1,False,0,0,
WP:河准元,河准元,导演,1,False,0,0,
NAME:波西·彭西罗利（）,波西·彭西罗利（）,导演,1,False,0,0,
Q15727919,潘耀明 (电影摄影师),导演,1,True,60,2798,https://zh.wikipedia.org/wiki/%E6%BD%98%E8%80%80%E6%98%8E_(%E9%9B%BB%E5%BD%B1%E6%94%9D%E5%BD%B1%E5%B8%AB)
Q1291686,爱德华·贝尔格,导演,1,True,222,4815,https://zh.wikipedia.org/wiki/%E7%88%B1%E5%BE%B7%E5%8D%8E%C2%B7%E8%B4%9D%E5%B0%94%E6%A0%BC
NAME:玄文燮,玄文燮,导演,1,False,0,0,
Q55431,王家卫,导演,3,True,144,36300,https://zh.wikipedia.org/wiki/%E7%8E%8B%E5%AE%B6%E5%8D%AB
NAME:王崇霖,王崇霖,导演,1,False,0,0,
Q124396899,王湘圣,导演,1,True,35,5174,https://zh.wikipedia.org/wiki/%E7%8E%8B%E6%B9%98%E8%81%96
WP:王筱刚,王筱刚,导演,1,False,0,0,
NAME:王鼎霖,王鼎霖,导演,1,False,0,0,
Q21032133,玛丽艾·海勒,导演,1,True,88,4501,https://zh.wikipedia.org/wiki/%E7%91%AA%E9%BA%97%E8%89%BE%C2%B7%E6%B5%B7%E5%8B%92
NAME:班·泰勒（Ben Taylor）,班·泰勒（Ben Taylor）,导演,1,False,0,0,
NAME:瓦苏蒂克·特皮奇,瓦苏蒂克·特皮奇,导演,1,False,0,0,
Q311723,甄子丹,导演,1,True,583,58328,https://zh.wikipedia.org/wiki/%E7%94%84%E5%AD%90%E4%B8%B9
Q131611333,甘剑宇,导演,1,True,44,2771,https://zh.wikipedia.org/wiki/%E7%94%98%E5%89%91%E5%AE%87
Q2829028,盐田明彦,导演,1,True,37,4698,https://zh.wikipedia.org/wiki/%E9%B9%BD%E7%94%B0%E6%98%8E%E5%BD%A5
Q23877023,盖瑞·道柏曼,导演,1,True,132,5663,https://zh.wikipedia.org/wiki/%E8%93%8B%E7%91%9E%C2%B7%E9%81%93%E6%9F%8F%E6%9B%BC
NAME:石川淳一,石川淳一,导演,1,False,0,0,
Q2518786,神山健治,导演,1,True,122,3684,https://zh.wikipedia.org/wiki/%E7%A5%9E%E5%B1%B1%E5%81%A5%E6%B2%BB
Q21710789,禹民镐,导演,1,True,150,2768,https://zh.wikipedia.org/wiki/%E7%A6%B9%E6%B0%91%E9%8E%AC
Q5104728,秋昌民,导演,1,True,113,4066,https://zh.wikipedia.org/wiki/%E7%A7%8B%E6%98%8C%E6%B0%91
Q981853,穆罕默德·拉素罗夫,导演,1,True,113,7244,https://zh.wikipedia.org/wiki/%E7%A9%86%E7%BD%95%E9%BB%98%E5%BE%B7%C2%B7%E6%8B%89%E7%B4%A0%E7%BE%85%E5%A4%AB
NAME:章勇进,章勇进,导演,1,False,0,0,
Q5613510,管虎,导演,2,True,47,6894,https://zh.wikipedia.org/wiki/%E7%AE%A1%E8%99%8E
Q28556,米歇尔·阿扎纳维西于斯,导演,1,True,135,4704,https://zh.wikipedia.org/wiki/%E7%B1%B3%E6%AD%87%E5%B0%94%C2%B7%E9%98%BF%E6%89%8E%E7%BA%B3%E7%BB%B4%E8%A5%BF%E4%BA%8E%E6%96%AF
Q313039,约翰·卡拉辛斯基,导演,2,True,384,32795,https://zh.wikipedia.org/wiki/%E7%B4%84%E7%BF%B0%C2%B7%E5%8D%A1%E6%8B%89%E8%BE%9B%E6%96%AF%E5%9F%BA
Q4922473,罗宁·提姆,导演,1,True,72,2505,https://zh.wikipedia.org/wiki/%E7%BE%85%E5%AF%A7%C2%B7%E6%8F%90%E5%A7%86
Q6716074,罗希特·谢蒂,导演,1,True,328,6681,https://zh.wikipedia.org/wiki/%E7%BE%85%E5%B8%8C%E7%89%B9%C2%B7%E8%AC%9D%E8%92%82
Q187364,罗拔·湛米基斯,导演,5,True,134,4779,https://zh.wikipedia.org/wiki/%E7%BE%85%E6%8B%94%C2%B7%E6%B9%9B%E7%B1%B3%E5%9F%BA%E6%96%AF
Q20826736,罗柏·艾格斯,导演,1,True,119,4310,https://zh.wikipedia.org/wiki/%E7%BE%85%E6%9F%8F%C2%B7%E8%89%BE%E6%A0%BC%E6%96%AF
Q22101425,翁子光,导演,1,True,157,8437,https://zh.wikipedia.org/wiki/%E7%BF%81%E5%AD%90%E5%85%89
Q28481177,耿军,导演,1,True,44,2128,https://zh.wikipedia.org/wiki/%E8%80%BF%E8%BB%8D
Q323076,肖恩·利维,导演,2,True,93,4538,https://zh.wikipedia.org/wiki/%E8%82%96%E6%81%A9%C2%B7%E5%88%A9%E7%BB%B4
Q358714,艾利·罗斯,导演,1,True,218,11686,https://zh.wikipedia.org/wiki/%E8%89%BE%E5%88%A9%C2%B7%E7%BE%85%E6%96%AF
NAME:莎曼珊·杰恩（）,莎曼珊·杰恩（）,导演,1,False,0,0,
Q978649,葛瑞格·贝兰提,导演,1,True,378,8043,https://zh.wikipedia.org/wiki/%E8%91%9B%E7%91%9E%E6%A0%BC%C2%B7%E8%B2%9D%E8%98%AD%E6%8F%90
Q56008,蒂姆·伯顿,导演,2,True,632,16151,https://zh.wikipedia.org/wiki/%E8%92%82%E5%A7%86%C2%B7%E4%BC%AF%E9%A1%BF
Q3418802,蓝道尔·艾米特,导演,1,True,181,10164,https://zh.wikipedia.org/wiki/%E8%97%8D%E9%81%93%E7%88%BE%C2%B7%E8%89%BE%E7%B1%B3%E7%89%B9
Q116226300,袁剑伟,导演,1,True,59,11855,https://zh.wikipedia.org/wiki/%E8%A2%81%E5%8A%8D%E5%81%89
NAME:西恩·查尔马兹,西恩·查尔马兹,导演,1,False,0,0,
