film_id,title,directors,actor_count,screenwriters,production_companies,genres,award_count,nomination_count,role_count,intro_chars,wikitext_chars,source_url
IMDB:tt0373889,哈利·波特与凤凰社,大卫·叶茨,8,迈克尔·戈登伯格|乔安妮·凯瑟琳·罗琳,,冒险|家庭|奇幻,0,0,0,144,0,https://www.imdb.com/title/tt0373889/
IMDB:tt6723592,信条,克里斯托弗·诺兰,9,克里斯托弗·诺兰,,动作|科幻|惊悚,0,0,0,155,0,https://www.imdb.com/title/tt6723592/
IMDB:tt1396484,小丑回魂,安德斯·穆斯切蒂,10,蔡斯·帕默|卡里·福永|盖瑞·道柏曼|斯蒂芬·金,,恐怖,0,0,0,157,0,https://www.imdb.com/title/tt1396484/
IMDB:tt1446714,普罗米修斯,雷利·史考特,10,乔·斯派茨|戴蒙·林德洛夫|丹·欧班农|罗纳德·舒塞特,,冒险|科幻,0,0,0,153,0,https://www.imdb.com/title/tt1446714/
IMDB:tt0454876,少年派的奇幻漂流,李安,7,扬·马特尔|大衞·马季,,冒险|剧情|奇幻,0,0,0,123,0,https://www.imdb.com/title/tt0454876/
IMDB:tt1517268,芭比,格蕾塔·葛韦格,10,格蕾塔·葛韦格|诺亚·波拜克,,冒险|喜剧|奇幻,0,0,0,149,0,https://www.imdb.com/title/tt1517268/
IMDB:tt0120903,X战警,布赖恩·辛格,10,汤姆·德桑托|布赖恩·辛格|戴维·海特,,动作|冒险|科幻,0,0,0,150,0,https://www.imdb.com/title/tt0120903/
IMDB:tt0829482,男孩我最坏,格雷格·莫托拉,10,塞斯·罗根|伊凡·戈博,,喜剧,0,0,0,154,0,https://www.imdb.com/title/tt0829482/
IMDB:tt2562232,鸟人,亚历杭德罗·冈萨雷斯·伊尼亚里图,7,亚历杭德罗·冈萨雷斯·伊尼亚里图|尼可拉斯·吉亚柯波内|亚历山大·迪内拉里斯|阿曼多·波|雷蒙德·卡佛,,喜剧|剧情,0,0,0,141,0,https://www.imdb.com/title/tt2562232/
IMDB:tt6966692,绿皮书,彼得·法雷利,6,尼克·瓦仑加|布莱恩·海耶斯·库瑞|彼得·法雷利,,传记|喜剧|剧情,0,0,0,134,0,https://www.imdb.com/title/tt6966692/
IMDB:tt0332280,恋恋笔记本,尼克·卡萨维茨,8,杰里米·莱文|占·萨迪|尼可拉斯·史派克,,剧情|爱情,0,0,0,139,0,https://www.imdb.com/title/tt0332280/
IMDB:tt0075148,洛奇,约翰·艾维森,7,席维斯·史特龙,,剧情|运动,0,0,0,128,0,https://www.imdb.com/title/tt0075148/
IMDB:tt0758758,荒野生存,肖恩·潘,9,肖恩·潘|强·克拉库尔,,冒险|传记|剧情,0,0,0,150,0,https://www.imdb.com/title/tt0758758/
IMDB:tt0162222,荒岛余生,罗拔·湛米基斯,3,威廉·保尔斯·杰宁,,冒险|剧情|爱情,0,0,0,103,0,https://www.imdb.com/title/tt0162222/
IMDB:tt2119532,血战钢锯岭,梅尔·吉布森,6,罗伯特·申坎|安德鲁·奈特,,传记|剧情|历史,0,0,0,127,0,https://www.imdb.com/title/tt2119532/
IMDB:tt3890160,极盗车神,埃德加·赖特,7,埃德加·赖特,,动作|犯罪|剧情,0,0,0,129,0,https://www.imdb.com/title/tt3890160/
IMDB:tt0440963,谍影重重3,保罗·格林格拉斯,9,托尼·吉尔罗伊|斯科特·Z.伯恩斯|乔治·诺尔菲|罗伯特·陆德伦,,动作|悬疑|惊悚,0,0,0,148,0,https://www.imdb.com/title/tt0440963/
IMDB:tt0443706,十二宫,大卫·芬奇,8,詹姆斯·范德比尔特|罗伯特·格雷史密斯,,犯罪|剧情|悬疑,0,0,0,144,0,https://www.imdb.com/title/tt0443706/
IMDB:tt0114746,十二猴子,特里·吉列姆,6,克利斯·马凯|大卫·韦布·皮普尔斯|珍妮特·皮普尔斯,,悬疑|科幻|惊悚,0,0,0,122,0,https://www.imdb.com/title/tt0114746/
IMDB:tt0120363,玩具总动员2,约翰·雷斯特|阿什·布莱侬|李·安克里奇,10,约翰·雷斯特|皮特·多克特|阿什·布莱侬|安德鲁·斯坦顿|道格·钱伯林|克里斯·韦伯,,冒险|动画|喜剧,0,0,0,168,0,https://www.imdb.com/title/tt0120363/
IMDB:tt0240772,十一罗汉,史蒂文·索德伯格,6,乔治·克莱顿·约翰逊|哈里·布朗|查尔斯·莱德尔|特德·格里芬,,犯罪|惊悚,0,0,0,121,0,https://www.imdb.com/title/tt0240772/
IMDB:tt2872718,夜行者,丹·吉尔罗伊,8,丹·吉尔罗伊,,犯罪|剧情|惊悚,0,0,0,141,0,https://www.imdb.com/title/tt2872718/
IMDB:tt11286314,不要抬头,亚当·麦凯,10,亚当·麦凯|戴维·西罗塔,,喜剧|剧情|科幻,0,0,0,156,0,https://www.imdb.com/title/tt11286314/
IMDB:tt0936501,飓风营救,皮耶·莫瑞尔,10,吕克·贝松|劳勃·马克·卡门,,动作|犯罪|惊悚,0,0,0,154,0,https://www.imdb.com/title/tt0936501/
IMDB:tt0234215,黑客帝国2：重装上阵,拉娜·沃卓斯基|莉莉·沃卓斯基,6,莉莉·沃卓斯基|拉娜·沃卓斯基,,动作|科幻,0,0,0,141,0,https://www.imdb.com/title/tt0234215/
IMDB:tt0926084,哈利·波特与死亡圣器(上),大卫·叶茨,10,史蒂夫·克勒伍|乔安妮·凯瑟琳·罗琳,,冒险|家庭|奇幻,0,0,0,161,0,https://www.imdb.com/title/tt0926084/
